,tic,url,supply_chain_risk,regulatory_risk,inflationary_risk,macro_risk,debt_risk,liquidity_risk,doctype
1,MMM,https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/mmm-20191231x10k62bf35.htm,3.0,6.0,1.0,4.0,1.0,0.0,Risk Section
2,ABT,https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/abt-20191231x10k59d41b.htm,4.0,7.0,2.0,5.0,3.0,1.0,Risk Section
3,ABBV,https://www.sec.gov/Archives/edgar/data/1551152/000155115220000007/abbv-20191231x10k.htm,2.0,7.0,2.0,3.0,4.0,0.0,Risk Section
4,ABMD,https://www.sec.gov/Archives/edgar/data/815094/000156459019020329/abmd-10k_20190331.htm,3.0,11.0,0.0,7.0,1.0,2.0,Risk Section
5,ACN,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000339/acn831201910k.htm,4.0,10.0,1.0,6.0,2.0,0.0,Risk Section
6,ATVI,https://www.sec.gov/Archives/edgar/data/718877/000071887720000003/atvi-12312019x10xk.htm,2.0,7.0,0.0,5.0,3.0,1.0,Risk Section
7,ADBE,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/adbe10kfy19.htm,5.0,6.0,0.0,4.0,3.0,3.0,Risk Section
8,AMD,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/amdform10-kfy2019.htm,11.0,1.0,0.0,8.0,3.0,0.0,Risk Section
9,AAP,https://www.sec.gov/Archives/edgar/data/1158449/000115844920000035/aap10k12282019secreport.htm,6.0,3.0,0.0,1.0,0.0,0.0,Risk Section
10,AES,https://www.sec.gov/Archives/edgar/data/874761/000087476120000012/a2019form10-k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
11,AFL,https://www.sec.gov/Archives/edgar/data/4977/000000497720000044/afl12311910k.htm,3.0,17.0,1.0,13.0,13.0,11.0,Risk Section
12,A,https://www.sec.gov/Archives/edgar/data/1090872/000109087219000022/a-10312019x10k.htm,2.0,3.0,0.0,1.0,0.0,2.0,Risk Section
13,APD,https://www.sec.gov/Archives/edgar/data/2969/000000296919000051/apd-10xkx30sep19.htm,6.0,9.0,0.0,6.0,2.0,0.0,Risk Section
14,AKAM,https://www.sec.gov/Archives/edgar/data/1086222/000108622220000045/akam10k123119.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
15,ALK,https://www.sec.gov/Archives/edgar/data/766421/000076642120000013/alk-20191231.htm,1.0,5.0,0.0,2.0,1.0,0.0,Risk Section
16,ALB,https://www.sec.gov/Archives/edgar/data/915913/000091591320000040/a1231201910-kdocument.htm,5.0,10.0,1.0,6.0,5.0,0.0,Risk Section
17,ARE,https://www.sec.gov/Archives/edgar/data/1035443/000103544320000042/a4q1910-k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
18,ALXN,https://www.sec.gov/Archives/edgar/data/899866/000089986620000012/alxn10k12312019.htm,5.0,26.0,1.0,9.0,4.0,0.0,Risk Section
19,ALGN,https://www.sec.gov/Archives/edgar/data/1097149/000109714920000008/algn-20191231x10k.htm,4.0,12.0,0.0,5.0,1.0,2.0,Risk Section
20,ALLE,https://www.sec.gov/Archives/edgar/data/1579241/000157924120000013/alle10k12312019doc.htm,7.0,8.0,1.0,5.0,3.0,3.0,Risk Section
21,LNT,https://www.sec.gov/Archives/edgar/data/52485/000035254120000021/lnt1231201910-k.htm,1.0,6.0,0.0,0.0,0.0,0.0,Risk Section
22,ALL,https://www.sec.gov/Archives/edgar/data/899051/000089905120000013/allcorp-12311910xk.htm,0.0,14.0,3.0,5.0,2.0,7.0,Risk Section
23,GOOGL,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm,4.0,5.0,0.0,9.0,2.0,2.0,Risk Section
24,GOOG,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm,4.0,5.0,0.0,9.0,2.0,2.0,Risk Section
25,MO,https://www.sec.gov/Archives/edgar/data/764180/000076418020000018/a2019form10-kq4.htm,5.0,7.0,0.0,4.0,0.0,0.0,Risk Section
26,AMZN,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/amzn-20191231x10k.htm,2.0,6.0,0.0,9.0,2.0,1.0,Risk Section
27,AMCR,https://www.sec.gov/Archives/edgar/data/1748790/000174879019000003/amcor-2019form10xkxjune302.htm,5.0,5.0,0.0,5.0,3.0,1.0,Risk Section
28,AEE,https://www.sec.gov/Archives/edgar/data/18654/000100291020000077/aee201910-k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
29,AAL,https://www.sec.gov/Archives/edgar/data/4515/000000620120000023/a10k123119.htm,2.0,10.0,0.0,3.0,2.0,4.0,Risk Section
30,AEP,https://www.sec.gov/Archives/edgar/data/4904/000000490420000007/aep10klegal20194q.htm,5.0,8.0,0.0,5.0,3.0,1.0,Risk Section
31,AXP,https://www.sec.gov/Archives/edgar/data/4962/000000496220000030/axp-20191231.htm,1.0,14.0,1.0,8.0,7.0,8.0,Risk Section
32,AIG,https://www.sec.gov/Archives/edgar/data/5272/000110465920023889/aig-20191231.htm,0.0,36.0,1.0,9.0,11.0,25.0,Risk Section
33,AMT,https://www.sec.gov/Archives/edgar/data/1053507/000105350720000028/amt1231201910k.htm,0.0,4.0,2.0,5.0,4.0,1.0,Risk Section
34,AWK,https://www.sec.gov/Archives/edgar/data/1410636/000141063620000040/a12312019-awkx10kdocum.htm,8.0,16.0,1.0,1.0,10.0,11.0,Risk Section
35,AMP,https://www.sec.gov/Archives/edgar/data/820027/000082002720000010/amp12312019.htm,0.0,31.0,1.0,14.0,9.0,11.0,Risk Section
36,ABC,https://www.sec.gov/Archives/edgar/data/1140859/000114085919000040/a10-kx9302019.htm,5.0,12.0,1.0,4.0,2.0,3.0,Risk Section
37,AME,https://www.sec.gov/Archives/edgar/data/1037868/000119312520043133/d878806d10k.htm,3.0,2.0,0.0,3.0,0.0,0.0,Risk Section
38,AMGN,https://www.sec.gov/Archives/edgar/data/318154/000031815420000019/amgn-12312019x10kq420191.htm,0.0,0.0,0.0,0.0,0.0,0.0,10K
39,APH,https://www.sec.gov/Archives/edgar/data/820313/000155837020000728/aph-20191231x10k7e830b.htm,8.0,6.0,2.0,9.0,2.0,2.0,Risk Section
40,ADI,https://www.sec.gov/Archives/edgar/data/6281/000000628119000144/adi-20191102.htm,5.0,4.0,0.0,6.0,2.0,0.0,Risk Section
41,ANSS,https://www.sec.gov/Archives/edgar/data/1013462/000101346220000004/anss2019123110k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
42,ANTM,https://www.sec.gov/Archives/edgar/data/1156039/000115603920000003/antm-2019123110kq42019.htm,1.0,20.0,0.0,6.0,5.0,3.0,Risk Section
43,AON,https://www.sec.gov/Archives/edgar/data/315293/000162828020001607/aonplc201910-k.htm,0.0,13.0,2.0,9.0,6.0,6.0,Risk Section
44,AOS,https://www.sec.gov/Archives/edgar/data/91142/000119312520046736/d846284d10k.htm,4.0,3.0,0.0,4.0,1.0,0.0,Risk Section
45,AAPL,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
46,AMAT,https://www.sec.gov/Archives/edgar/data/6951/000000695119000046/amat-20191027.htm,9.0,5.0,0.0,6.0,6.0,2.0,Risk Section
47,APTV,https://www.sec.gov/Archives/edgar/data/1521332/000152133220000012/aptv1231201910-k.htm,7.0,7.0,1.0,4.0,0.0,0.0,Risk Section
48,ADM,https://www.sec.gov/Archives/edgar/data/7084/000000708420000009/adm-20191231x10k.htm,6.0,8.0,0.0,6.0,2.0,1.0,Risk Section
49,ANET,https://www.sec.gov/Archives/edgar/data/1596532/000159653220000024/anet20191231-10k.htm,13.0,6.0,1.0,13.0,4.0,1.0,Risk Section
50,AJG,https://www.sec.gov/Archives/edgar/data/354190/000119312520028191/d879025d10k.htm,1.0,14.0,0.0,9.0,6.0,4.0,Risk Section
51,AIZ,https://www.sec.gov/Archives/edgar/data/1267238/000126723820000004/aiz1231201910k.htm,1.0,34.0,8.0,16.0,7.0,4.0,Risk Section
52,T,https://www.sec.gov/Archives/edgar/data/732717/000156276220000064/t-20191231.htm,1.0,8.0,1.0,27.0,24.0,1.0,Risk Section
53,ATO,https://www.sec.gov/Archives/edgar/data/731802/000073180219000037/ato201993010-k.htm,1.0,5.0,0.0,0.0,0.0,1.0,Risk Section
54,ADSK,https://www.sec.gov/Archives/edgar/data/769397/000076939719000016/adsk-0131201910xk.htm,1.0,8.0,2.0,12.0,1.0,0.0,Risk Section
55,ADP,https://www.sec.gov/Archives/edgar/data/8670/000000867019000021/q4fy1910k.htm,0.0,7.0,0.0,4.0,0.0,2.0,Risk Section
56,AZO,https://www.sec.gov/Archives/edgar/data/866787/000119312519276201/d771460d10k.htm,7.0,6.0,0.0,5.0,0.0,0.0,Risk Section
57,AVB,https://www.sec.gov/Archives/edgar/data/915912/000091591220000004/a201910-k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
58,AVY,https://www.sec.gov/Archives/edgar/data/8818/000110465920025360/avy-20191228x10k9cf60b.htm,6.0,6.0,1.0,6.0,3.0,0.0,Risk Section
59,BKR,https://www.sec.gov/Archives/edgar/data/1701605/000170160520000019/fiscalyear2019form10-k.htm,1.0,2.0,1.0,1.0,0.0,0.0,Risk Section
60,BLL,https://www.sec.gov/Archives/edgar/data/9389/000155837020001005/bll-20191231x10k1a847a.htm,7.0,5.0,0.0,7.0,3.0,2.0,Risk Section
61,BAC,https://www.sec.gov/Archives/edgar/data/70858/000007085820000011/bac-1231201910xk.htm,4.0,34.0,1.0,18.0,20.0,30.0,Risk Section
62,BK,https://www.sec.gov/Archives/edgar/data/1390777/000139077720000044/form10-k4q19.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
63,BAX,https://www.sec.gov/Archives/edgar/data/10456/000156459019003727/bax-10k_20181231.htm,4.0,7.0,1.0,9.0,1.0,2.0,Risk Section
64,BDX,https://www.sec.gov/Archives/edgar/data/10795/000001079519000044/bdx2019-09x3010xk.htm,4.0,12.0,0.0,8.0,0.0,1.0,Risk Section
65,BRK-B,https://www.sec.gov/Archives/edgar/data/1067983/000156459020005874/brka-10k_20191231.htm,1.0,6.0,0.0,0.0,2.0,3.0,Risk Section
66,BBY,https://www.sec.gov/Archives/edgar/data/764478/000076447819000009/bby-2019x10k.htm,5.0,8.0,1.0,5.0,2.0,2.0,Risk Section
67,BIO,https://www.sec.gov/Archives/edgar/data/12208/000001220819000014/a10k123118.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
68,BIIB,https://www.sec.gov/Archives/edgar/data/875045/000087504520000005/biib-20191231x10k.htm,9.0,26.0,1.0,3.0,4.0,2.0,Risk Section
69,BLK,https://www.sec.gov/Archives/edgar/data/1364742/000156459020007807/blk-10k_20191231.htm,2.0,25.0,0.0,12.0,4.0,7.0,Risk Section
70,BA,https://www.sec.gov/Archives/edgar/data/12927/000001292720000014/a201912dec3110k.htm,5.0,3.0,0.0,5.0,1.0,0.0,Risk Section
71,BKNG,https://www.sec.gov/Archives/edgar/data/1075531/000107553120000011/bkng1231201910k.htm,0.0,8.0,0.0,3.0,2.0,1.0,Risk Section
72,BWA,https://www.sec.gov/Archives/edgar/data/908255/000090825520000014/a2019123110k.htm,12.0,1.0,1.0,5.0,0.0,1.0,Risk Section
73,BXP,https://www.sec.gov/Archives/edgar/data/1037540/000165642319000006/bxpandbplp201810-k.htm,1.0,1.0,1.0,6.0,19.0,2.0,Risk Section
74,BSX,https://www.sec.gov/Archives/edgar/data/885725/000088572520000012/a2019form10-k.htm,0.0,16.0,0.0,6.0,3.0,6.0,Risk Section
75,BMY,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/bmy-20191231x10xk.htm,6.0,13.0,0.0,5.0,2.0,1.0,Risk Section
76,AVGO,https://www.sec.gov/Archives/edgar/data/1730168/000173016819000144/avgo-11032019x10k.htm,6.0,7.0,0.0,13.0,4.0,1.0,Risk Section
77,BR,https://www.sec.gov/Archives/edgar/data/1383312/000138331219000042/br-20190630xform10xk.htm,0.0,6.0,0.0,2.0,1.0,0.0,Risk Section
78,CHRW,https://www.sec.gov/Archives/edgar/data/1043277/000104327720000016/chrw-20191231.htm,2.0,0.0,0.0,3.0,1.0,0.0,Risk Section
79,COG,https://www.sec.gov/Archives/edgar/data/858470/000085847020000012/cog-12312019x10k.htm,4.0,17.0,0.0,3.0,2.0,3.0,Risk Section
80,CDNS,https://www.sec.gov/Archives/edgar/data/813672/000081367220000007/cdns1228201910-k.htm,3.0,3.0,0.0,6.0,9.0,2.0,Risk Section
81,CZR,https://www.sec.gov/Archives/edgar/data/1590895/000156459020007599/eri-10k_20191231.htm,2.0,7.0,0.0,1.0,3.0,0.0,Risk Section
82,CPB,https://www.sec.gov/Archives/edgar/data/16732/000001673219000070/cpb-7282019x10xk.htm,5.0,5.0,0.0,1.0,1.0,0.0,Risk Section
83,COF,https://www.sec.gov/Archives/edgar/data/927628/000092762820000102/cof-12312019x10k.htm,2.0,34.0,0.0,7.0,13.0,14.0,Risk Section
84,CAH,https://www.sec.gov/Archives/edgar/data/721371/000072137119000090/a19q4_10kx063019xform10-k.htm,0.0,8.0,1.0,14.0,2.0,2.0,10K
85,KMX,https://www.sec.gov/Archives/edgar/data/1170010/000117001019000040/kmx0228201910-k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
86,CCL,https://www.sec.gov/Archives/edgar/data/815097/000081509720000003/a2019form10-kfrontpart.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
87,CTLT,https://www.sec.gov/Archives/edgar/data/1596783/000159678319000183/ctlt-20190630.htm,3.0,10.0,1.0,8.0,9.0,2.0,Risk Section
88,CAT,https://www.sec.gov/Archives/edgar/data/18230/000001823020000056/cat10-k12312019.htm,2.0,3.0,0.0,6.0,3.0,5.0,Risk Section
89,CBOE,https://www.sec.gov/Archives/edgar/data/1374310/000155837020001127/cboe-20191231x10k3d7487.htm,0.0,19.0,1.0,35.0,3.0,3.0,Risk Section
90,CBRE,https://www.sec.gov/Archives/edgar/data/1138118/000156459019005666/cbg-10k_20181231.htm,1.0,9.0,0.0,7.0,3.0,3.0,Risk Section
91,CDW,https://www.sec.gov/Archives/edgar/data/1402057/000140205720000042/cdw-20191231x10k.htm,3.0,3.0,0.0,4.0,6.0,0.0,Risk Section
92,CE,https://www.sec.gov/Archives/edgar/data/1306830/000130683020000018/ce-20191231x10k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
93,CNC,https://www.sec.gov/Archives/edgar/data/1071739/000107173920000060/form10k.htm,1.0,9.0,1.0,3.0,4.0,2.0,Risk Section
94,CNP,https://www.sec.gov/Archives/edgar/data/48732/000113031020000016/cnp10k12312019.htm,9.0,18.0,0.0,5.0,5.0,5.0,Risk Section
95,CERN,https://www.sec.gov/Archives/edgar/data/804753/000080475320000007/a201910-k.htm,4.0,10.0,0.0,7.0,7.0,0.0,Risk Section
96,CF,https://www.sec.gov/Archives/edgar/data/1324404/000132440420000006/cf-12312019x10k.htm,12.0,11.0,0.0,7.0,5.0,3.0,Risk Section
97,SCHW,https://www.sec.gov/Archives/edgar/data/316709/000031670920000012/schw-12312019x10k.htm,0.0,11.0,0.0,6.0,2.0,6.0,Risk Section
98,CHTR,https://www.sec.gov/Archives/edgar/data/1091667/000109166720000024/chtr12312019-10k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
99,CVX,https://www.sec.gov/Archives/edgar/data/93410/000009341020000010/cvx12312019-10kdoc.htm,3.0,4.0,0.0,1.0,0.0,3.0,Risk Section
100,CMG,https://www.sec.gov/Archives/edgar/data/1058090/000105809020000010/cmg-20191231x10k.htm,3.0,4.0,0.0,2.0,0.0,0.0,Risk Section
101,CB,https://www.sec.gov/Archives/edgar/data/896159/000089615920000003/cb-12312019x10k.htm,0.0,25.0,2.0,8.0,10.0,7.0,Risk Section
102,CHD,https://www.sec.gov/Archives/edgar/data/313927/000156459020004956/chd-10k_20191231.htm,5.0,10.0,0.0,13.0,6.0,4.0,Risk Section
103,CI,https://www.sec.gov/Archives/edgar/data/1739940/000173994020000006/ci-20191231.htm,1.0,19.0,0.0,4.0,7.0,8.0,Risk Section
104,CINF,https://www.sec.gov/Archives/edgar/data/20286/000002028620000011/cinf-20191231x10k.htm,0.0,9.0,3.0,3.0,2.0,3.0,Risk Section
105,CTAS,https://www.sec.gov/Archives/edgar/data/723254/000072325419000021/ctas531201910k.htm,2.0,1.0,1.0,4.0,2.0,0.0,Risk Section
106,CSCO,https://www.sec.gov/Archives/edgar/data/858877/000085887719000012/csco-2019727x10k.htm,13.0,5.0,0.0,9.0,2.0,0.0,Risk Section
107,C,https://www.sec.gov/Archives/edgar/data/831001/000083100120000031/c-12312019x10k.htm,0.0,68.0,3.0,103.0,54.0,34.0,10K
108,CFG,https://www.sec.gov/Archives/edgar/data/759944/000075994420000030/citizens10-kx2019.htm,3.0,28.0,0.0,6.0,2.0,10.0,Risk Section
109,CTXS,https://www.sec.gov/Archives/edgar/data/877890/000087789020000051/ctxs-20191231.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
110,CLX,https://www.sec.gov/Archives/edgar/data/21076/000002107619000012/fy19clx10k.htm,4.0,2.0,1.0,7.0,2.0,0.0,10K
111,CME,https://www.sec.gov/Archives/edgar/data/1156375/000115637520000013/cme-2019123110k.htm,3.0,15.0,0.0,22.0,4.0,4.0,Risk Section
112,CMS,https://www.sec.gov/Archives/edgar/data/201533/000081115620000004/a2019form10-kxcmsenerg.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
113,KO,https://www.sec.gov/Archives/edgar/data/21344/000002134420000006/a2019123110-k.htm,6.0,1.0,0.0,3.0,2.0,1.0,Risk Section
114,CTSH,https://www.sec.gov/Archives/edgar/data/1058290/000105829020000008/ctsh20191231-10k.htm,2.0,4.0,0.0,3.0,0.0,1.0,Risk Section
115,CL,https://www.sec.gov/Archives/edgar/data/21665/000002166520000004/cl-12312019x10k.htm,5.0,3.0,0.0,9.0,1.0,0.0,Risk Section
116,CMCSA,https://www.sec.gov/Archives/edgar/data/902739/000116669120000008/cmcsa-12312019x10k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
117,CMA,https://www.sec.gov/Archives/edgar/data/28412/000002841220000034/a201910k.htm,2.0,11.0,1.0,6.0,4.0,7.0,Risk Section
118,CAG,https://www.sec.gov/Archives/edgar/data/23217/000002321719000006/cag-2019x10k.htm,5.0,2.0,1.0,1.0,0.0,0.0,Risk Section
119,COP,https://www.sec.gov/Archives/edgar/data/1163165/000119312520039954/d875559d10k.htm,1.0,5.0,0.0,1.0,0.0,0.0,Risk Section
120,ED,https://www.sec.gov/Archives/edgar/data/23632/000104786220000041/ed-20191231x10k.htm,3.0,10.0,0.0,0.0,3.0,4.0,Risk Section
121,STZ,https://www.sec.gov/Archives/edgar/data/16918/000001691819000024/stz228201910k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
122,COO,https://www.sec.gov/Archives/edgar/data/711404/000071140419000051/coo20191031-10k.htm,2.0,11.0,1.0,4.0,6.0,1.0,Risk Section
123,CPRT,https://www.sec.gov/Archives/edgar/data/900075/000090007519000022/cprt07312019-10k.htm,4.0,8.0,1.0,5.0,1.0,0.0,Risk Section
124,GLW,https://www.sec.gov/Archives/edgar/data/24741/000002474120000014/glw-20191231x10k.htm,3.0,4.0,0.0,7.0,1.0,0.0,Risk Section
125,CTVA,https://www.sec.gov/Archives/edgar/data/30554/000175567220000006/ctva-12x31x201910xk.htm,4.0,8.0,0.0,7.0,3.0,1.0,Risk Section
126,COST,https://www.sec.gov/Archives/edgar/data/909832/000090983219000019/cost10k9119.htm,2.0,6.0,0.0,2.0,0.0,1.0,Risk Section
127,CCI,https://www.sec.gov/Archives/edgar/data/1051470/000105147019000046/cci10-k123118.htm,1.0,0.0,0.0,2.0,2.0,1.0,Risk Section
128,CSX,https://www.sec.gov/Archives/edgar/data/277948/000027794820000008/csx-12312019x10k.htm,0.0,5.0,0.0,0.0,1.0,6.0,Risk Section
129,CMI,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/cmi201910-kdocument.htm,7.0,6.0,0.0,6.0,0.0,0.0,Risk Section
130,CVS,https://www.sec.gov/Archives/edgar/data/64803/000006480320000007/a2019form10-k.htm,9.0,36.0,3.0,4.0,8.0,0.0,Risk Section
131,DHI,https://www.sec.gov/Archives/edgar/data/882184/000088218419000147/a2019930-10k.htm,4.0,2.0,0.0,2.0,3.0,3.0,Risk Section
132,DHR,https://www.sec.gov/Archives/edgar/data/313616/000031361620000041/dhr-20191231x10xk.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
133,DRI,https://www.sec.gov/Archives/edgar/data/940944/000094094419000025/dri-201910xk.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
134,DVA,https://www.sec.gov/Archives/edgar/data/927066/000092706620000014/dva-12311910k.htm,3.0,30.0,2.0,5.0,2.0,0.0,Risk Section
135,DE,https://www.sec.gov/Archives/edgar/data/315189/000155837019011614/de-20191103x10k.htm,5.0,8.0,0.0,5.0,5.0,2.0,Risk Section
136,DAL,https://www.sec.gov/Archives/edgar/data/27904/000002790420000004/dal-20191231.htm,1.0,4.0,0.0,1.0,0.0,0.0,Risk Section
137,XRAY,https://www.sec.gov/Archives/edgar/data/818479/000081847919000010/xray-20181231.htm,6.0,14.0,0.0,6.0,2.0,1.0,Risk Section
138,DVN,https://www.sec.gov/Archives/edgar/data/1090012/000156459020005182/dvn-10k_20191231.htm,2.0,8.0,0.0,3.0,2.0,6.0,Risk Section
139,DXCM,https://www.sec.gov/Archives/edgar/data/1093557/000109355720000029/dxcm-12312019x10kasof1.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
140,FANG,https://www.sec.gov/Archives/edgar/data/1539838/000153983820000021/diamondback201910-k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
141,DLR,https://www.sec.gov/Archives/edgar/data/1297996/000129799619000032/dlrq412311810kss.htm,4.0,10.0,0.0,9.0,11.0,5.0,Risk Section
142,DFS,https://www.sec.gov/Archives/edgar/data/1393612/000139361220000009/dfs1231201910k.htm,2.0,25.0,0.0,2.0,9.0,8.0,Risk Section
143,DISCA,https://www.sec.gov/Archives/edgar/data/1437107/000143710720000006/disca-2019123110kq4.htm,0.0,6.0,0.0,5.0,4.0,1.0,Risk Section
144,DISCK,https://www.sec.gov/Archives/edgar/data/1437107/000143710720000006/disca-2019123110kq4.htm,0.0,6.0,0.0,5.0,4.0,1.0,Risk Section
145,DISH,https://www.sec.gov/Archives/edgar/data/1001082/000155837020000945/dish-20191231x10kce7e53.htm,0.0,11.0,0.0,6.0,7.0,2.0,Risk Section
146,DG,https://www.sec.gov/Archives/edgar/data/29534/000155837019002383/dg-20190201x10k.htm,7.0,3.0,0.0,2.0,0.0,1.0,Risk Section
147,DLTR,https://www.sec.gov/Archives/edgar/data/935703/000093570319000024/dltr-2019x02x02x10k.htm,2.0,3.0,2.0,4.0,1.0,0.0,Risk Section
148,D,https://www.sec.gov/Archives/edgar/data/103682/000119312520054469/d854390d10k.htm,3.0,11.0,0.0,1.0,2.0,6.0,Risk Section
149,DPZ,https://www.sec.gov/Archives/edgar/data/1286681/000119312520042675/d796357d10k.htm,4.0,2.0,0.0,1.0,3.0,0.0,Risk Section
150,DOV,https://www.sec.gov/Archives/edgar/data/29905/000002990520000011/dov-20191231.htm,3.0,5.0,0.0,4.0,0.0,1.0,Risk Section
151,DOW,https://www.sec.gov/Archives/edgar/data/29915/000175178820000007/dowinc201910k.htm,4.0,5.0,0.0,3.0,0.0,1.0,Risk Section
152,DTE,https://www.sec.gov/Archives/edgar/data/28385/000093634020000127/dteenergy2019123110k.htm,2.0,13.0,0.0,6.0,3.0,2.0,Risk Section
153,DUK,https://www.sec.gov/Archives/edgar/data/17797/000132616020000034/duk-20191231x10k.htm,3.0,3.0,0.0,0.0,1.0,0.0,Risk Section
154,DRE,https://www.sec.gov/Archives/edgar/data/783280/000078328020000010/a10k2019.htm,0.0,0.0,1.0,3.0,5.0,1.0,Risk Section
155,DD,https://www.sec.gov/Archives/edgar/data/1666700/000166670020000006/dupont201910-k.htm,3.0,10.0,0.0,6.0,5.0,2.0,Risk Section
156,DXC,https://www.sec.gov/Archives/edgar/data/1688568/000168856819000055/dxcfy1910-k.htm,2.0,5.0,0.0,5.0,4.0,4.0,Risk Section
157,EMN,https://www.sec.gov/Archives/edgar/data/915389/000091538920000016/emn2019123110k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
158,ETN,https://www.sec.gov/Archives/edgar/data/1551182/000155118220000050/etn12312019form10-k.htm,1.0,0.0,0.0,2.0,0.0,0.0,Risk Section
159,EBAY,https://www.sec.gov/Archives/edgar/data/1065088/000106508820000006/ebay201910-k.htm,0.0,16.0,0.0,13.0,10.0,0.0,Risk Section
160,ECL,https://www.sec.gov/Archives/edgar/data/31462/000155837020001788/ecl-20191231x10k145b24.htm,0.0,2.0,0.0,3.0,3.0,2.0,Risk Section
161,EIX,https://www.sec.gov/Archives/edgar/data/92103/000082705220000026/eix-sceq4201910k.htm,1.0,65.0,1.0,5.0,7.0,6.0,10K
162,EW,https://www.sec.gov/Archives/edgar/data/1099800/000109980020000005/ew10-kq42019.htm,2.0,11.0,0.0,2.0,1.0,0.0,Risk Section
163,EA,https://www.sec.gov/Archives/edgar/data/712515/000071251519000019/ea3312019-q410kdoc.htm,0.0,4.0,1.0,4.0,3.0,1.0,Risk Section
164,EMR,https://www.sec.gov/Archives/edgar/data/32604/000003260419000048/emr-09302019x10xk.htm,5.0,1.0,0.0,4.0,1.0,0.0,Risk Section
165,ENPH,https://www.sec.gov/Archives/edgar/data/1463101/000146310120000021/a2019q410-kdoc.htm,4.0,5.0,0.0,9.0,2.0,0.0,Risk Section
